lr_schedule,c,mu,epoch,global sparsity,Accuracy
official,0.005,0.85,85,0.998394258,0.2269
official,0.005,0.8,90,0.995057525,0.43474
official,0.005,0.65,91,0.97049137,0.66462
official,0.005,0.75,92,0.989862164,0.56152
official,0.005,0.7,94,0.982560299,0.62596
official,0.004,0.7,95,0.976922907,0.65166
official,0.003,0.7,95,0.968743827,0.6728
official,0.004,0.65,95,0.963641044,0.68062
official,0.003,0.75,103,0.981045842,0.6376
official,0.002,0.75,105,0.970586217,0.6723399
official,0.004,0.75,121,0.986213657,0.60124
0.1_ep140_0.01,0.005,0.6,144,0.949832907,0.72158
0.1_ep140_0.01,0.005,0.51,146,0.87276989,0.7314
0.1_ep140_0.01,0.005,0.501,148,0.86088545,0.73126
0.1_ep140_0.01,0.005,0.55,150,0.915893364,0.7324
0.1_ep140_0.01,0.01,0.4,150,0.796928532,0.72746
0.1_ep140_0.01,0.005,0.65,151,0.971028522,0.70042
0.1_ep140_0.01,0.005,0.7,153,0.981728043,0.65512
